
> button-component-library-with-styled-system-and-styled-components@1.0.0 build-storybook
> build-storybook -s public "--output-dir" "/var/folders/l4/46ny6dl909vbd5vr1p25nw200000gn/T/chromatic--68043-jmJSPiS6oCuC"

info @storybook/react v6.1.18
info 
info => Cleaning outputDir /var/folders/l4/46ny6dl909vbd5vr1p25nw200000gn/T/chromatic--68043-jmJSPiS6oCuC
cp: no such file or directory: /Users/adam/dev/devchallenges/button-component/public/!(index.html)
info => Copying static files from: public
info => Using prebuilt manager
info => Building preview..
info => Loading preview config..
info => Loading presets
info => Loading 1 config file in "./.storybook"
info => Loading 7 other files in "./.storybook"
info => Adding stories defined in ".storybook/main.js"
info => Loading Webpack configuration from `node_modules/react-scripts`
info => Removing existing JavaScript and TypeScript rules.
info => Modifying Create React App rules.
info => Using default Webpack setup
info => Compiling preview..
<s> [webpack.Progress] 0% compiling
<s> [webpack.Progress] 10% building 0/0 modules 0 active 
<s> [webpack.Progress] 10% building 0/1 modules 1 active multi /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/core/dist/server/common/polyfills.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/core/dist/server/preview/globals.js /Users/adam/dev/devchallenges/button-component/.storybook/storybook-init-framework-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-links/dist/preset/addDecorator.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-actions/dist/preset/addArgs.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js-generated-other-entry.js /Users/adam/dev/devchallenges/button-component/.storybook/preview.js-generated-config-entry.js /Users/adam/dev/devchallenges/button-component/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 10% building 1/1 modules 0 active 
<s> [webpack.Progress] 10% building 7/10 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/core/dist/server/preview/globals.js
<s> [webpack.Progress] 10% building 8/10 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/core/dist/server/preview/globals.js
<s> [webpack.Progress] 10% building 8/11 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-links/dist/preset/addDecorator.js
<s> [webpack.Progress] 10% building 8/12 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-actions/dist/preset/addDecorator.js
<s> [webpack.Progress] 10% building 8/13 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-actions/dist/preset/addArgs.js
<s> [webpack.Progress] 10% building 8/14 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/preset/addDecorator.js
<s> [webpack.Progress] 10% building 8/15 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/preset/addParameter.js
<s> [webpack.Progress] 10% building 8/16 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/common/config.js
<s> [webpack.Progress] 10% building 8/17 modules 9 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 9/17 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 10/17 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 11/17 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 12/17 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 13/17 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 14/17 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 15/17 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 16/17 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/config.js
<s> [webpack.Progress] 11% building 16/18 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/storybook-init-framework-entry.js
<s> [webpack.Progress] 11% building 16/19 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/preview.js-generated-config-entry.js
<s> [webpack.Progress] 11% building 16/20 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 12% building 17/20 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 12% building 18/20 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 12% building 19/20 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/generated-stories-entry.js
<s> [webpack.Progress] 12% building 20/20 modules 0 active 
<s> [webpack.Progress] 12% building 20/21 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/.storybook/preview.js
<s> [webpack.Progress] 12% building 20/22 modules 2 active /Users/adam/dev/devchallenges/button-component/src/components sync /^\.(?:(?:^|\/|(?:(?:(?!(?:^|\/)\.).)*?)\/)(?!\.)(?=.)[^/]*?\.stories\.(js|jsx|ts|tsx))$/
<s> [webpack.Progress] 12% building 20/23 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-actions/dist/index.js
<s> [webpack.Progress] 12% building 20/24 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-links/dist/index.js
<s> [webpack.Progress] 12% building 20/25 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/common/enhanceArgTypes.js
<s> [webpack.Progress] 12% building 21/25 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/common/enhanceArgTypes.js
<s> [webpack.Progress] 12% building 21/26 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/extractArgTypes.js
<s> [webpack.Progress] 12% building 21/27 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/jsxDecorator.js
<s> [webpack.Progress] 12% building 21/28 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 12% building 22/28 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 12% building 23/28 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 12% building 24/28 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 13% building 25/28 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 13% building 26/28 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 13% building 27/28 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/module.js
<s> [webpack.Progress] 13% building 27/29 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/mapValues.js
<s> [webpack.Progress] 13% building 28/29 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/mapValues.js
<s> [webpack.Progress] 13% building 28/30 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/index.js
<s> [webpack.Progress] 13% building 28/31 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-logger/dist/index.js
<s> [webpack.Progress] 13% building 28/32 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.regexp.constructor.js
<s> [webpack.Progress] 13% building 28/33 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.object.assign.js
<s> [webpack.Progress] 13% building 28/34 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.regexp.to-string.js
<s> [webpack.Progress] 13% building 28/35 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.regexp.exec.js
<s> [webpack.Progress] 13% building 28/36 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 13% building 29/36 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 13% building 30/36 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 13% building 31/36 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 13% building 32/36 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 13% building 33/36 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 14% building 34/36 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 14% building 35/36 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/regenerator-runtime/runtime.js
<s> [webpack.Progress] 14% building 36/36 modules 0 active 
<s> [webpack.Progress] 14% building 36/37 modules 1 active /Users/adam/dev/devchallenges/button-component/node_modules/global/window.js
<s> [webpack.Progress] 14% building 36/38 modules 2 active /Users/adam/dev/devchallenges/button-component/node_modules/airbnb-js-shims/index.js
<s> [webpack.Progress] 14% building 36/39 modules 3 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-actions/dist/constants.js
<s> [webpack.Progress] 14% building 36/40 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.slice.js
<s> [webpack.Progress] 14% building 36/41 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-links/dist/preview.js
<s> [webpack.Progress] 14% building 36/42 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.object.define-properties.js
<s> [webpack.Progress] 14% building 36/43 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.object.freeze.js
<s> [webpack.Progress] 14% building 36/44 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/common/normalizeArgTypes.js
<s> [webpack.Progress] 14% building 36/45 modules 9 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/frameworks/react/extractProps.js
<s> [webpack.Progress] 14% building 36/46 modules 10 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.reduce.js
<s> [webpack.Progress] 14% building 36/47 modules 11 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.function.name.js
<s> [webpack.Progress] 14% building 36/48 modules 12 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/shared.js
<s> [webpack.Progress] 14% building 36/49 modules 13 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.for-each.js
<s> [webpack.Progress] 14% building 36/50 modules 14 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.map.js
<s> [webpack.Progress] 14% building 36/51 modules 15 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.join.js
<s> [webpack.Progress] 14% building 36/52 modules 16 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.date.to-string.js
<s> [webpack.Progress] 14% building 36/53 modules 17 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.object.to-string.js
<s> [webpack.Progress] 14% building 36/54 modules 18 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.string.match.js
<s> [webpack.Progress] 14% building 36/55 modules 19 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.string.replace.js
<s> [webpack.Progress] 14% building 36/56 modules 20 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/web.dom-collections.for-each.js
<s> [webpack.Progress] 14% building 36/57 modules 21 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/src/theme.js
<s> [webpack.Progress] 14% building 36/58 modules 22 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/blocks/index.js
<s> [webpack.Progress] 14% building 36/59 modules 23 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 14% building 37/59 modules 22 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 14% building 38/59 modules 21 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 14% building 39/59 modules 20 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 14% building 40/59 modules 19 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 14% building 41/59 modules 18 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 15% building 42/59 modules 17 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 15% building 43/59 modules 16 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 15% building 44/59 modules 15 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-backgrounds/dist/decorators/index.js
<s> [webpack.Progress] 15% building 44/60 modules 16 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 15% building 45/60 modules 15 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 15% building 46/60 modules 14 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 15% building 47/60 modules 13 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 15% building 48/60 modules 12 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 15% building 49/60 modules 11 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 50/60 modules 10 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 51/60 modules 9 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 52/60 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 53/60 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 54/60 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 55/60 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 56/60 modules 4 active /Users/adam/dev/devchallenges/button-component/node_modules/react/jsx-runtime.js
<s> [webpack.Progress] 16% building 56/61 modules 5 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/react/dist/client/index.js
<s> [webpack.Progress] 16% building 56/62 modules 6 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/addon-docs/dist/lib/docgen/index.js
<s> [webpack.Progress] 16% building 56/63 modules 7 active /Users/adam/dev/devchallenges/button-component/node_modules/babel-loader/lib/index.js??ref--9-oneOf-2!/Users/adam/dev/devchallenges/button-component/node_modules/@storybook/source-loader/dist/index.js??ref--7!/Users/adam/dev/devchallenges/button-component/src/components/Button/Button.stories.js
<s> [webpack.Progress] 16% building 56/64 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/_baseAssignValue.js
<s> [webpack.Progress] 16% building 56/65 modules 9 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/_baseForOwn.js
<s> [webpack.Progress] 16% building 56/66 modules 10 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/_baseIteratee.js
<s> [webpack.Progress] 16% building 57/66 modules 9 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/_baseIteratee.js
<s> [webpack.Progress] 16% building 58/66 modules 8 active /Users/adam/dev/devchallenges/button-component/node_modules/lodash/_baseIteratee.js
<s> [webpack.Progress] 16% building 58/67 modules 9 active /Users/adam/dev/devchallenges/button-component/node_modules/webpack/buildin/global.js
<s> [webpack.Progress] 16% building 58/68 modules 10 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/client_api.js
<s> [webpack.Progress] 16% building 58/69 modules 11 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/decorators.js
<s> [webpack.Progress] 16% building 58/70 modules 12 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/parameters.js
<s> [webpack.Progress] 16% building 58/71 modules 13 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/story_store.js
<s> [webpack.Progress] 16% building 58/72 modules 14 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/pathToId.js
<s> [webpack.Progress] 16% building 58/73 modules 15 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/config_api.js
<s> [webpack.Progress] 16% building 58/74 modules 16 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/queryparams.js
<s> [webpack.Progress] 16% building 58/75 modules 17 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/simulate-pageload.js
<s> [webpack.Progress] 16% building 58/76 modules 18 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/hooks.js
<s> [webpack.Progress] 16% building 58/77 modules 19 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/types.js
<s> [webpack.Progress] 16% building 58/78 modules 20 active /Users/adam/dev/devchallenges/button-component/node_modules/@storybook/client-api/dist/inferControls.js
<s> [webpack.Progress] 16% building 58/79 modules 21 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.concat.js
<s> [webpack.Progress] 17% building 59/79 modules 20 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.concat.js
<s> [webpack.Progress] 17% building 60/79 modules 19 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.concat.js
<s> [webpack.Progress] 17% building 61/79 modules 18 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.concat.js
<s> [webpack.Progress] 17% building 62/79 modules 17 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/modules/es.array.concat.js
<s> [webpack.Progress] 17% building 62/80 modules 18 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/global.js
<s> [webpack.Progress] 17% building 62/81 modules 19 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/descriptors.js
<s> [webpack.Progress] 17% building 62/82 modules 20 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/is-forced.js
<s> [webpack.Progress] 17% building 62/83 modules 21 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/inherit-if-required.js
<s> [webpack.Progress] 17% building 62/84 modules 22 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/object-define-property.js
<s> [webpack.Progress] 17% building 62/85 modules 23 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/object-get-own-property-names.js
<s> [webpack.Progress] 17% building 62/86 modules 24 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/is-regexp.js
<s> [webpack.Progress] 17% building 62/87 modules 25 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/regexp-flags.js
<s> [webpack.Progress] 17% building 62/88 modules 26 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/regexp-sticky-helpers.js
<s> [webpack.Progress] 17% building 62/89 modules 27 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/redefine.js
<s> [webpack.Progress] 17% building 62/90 modules 28 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/fails.js
<s> [webpack.Progress] 17% building 62/91 modules 29 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/internal-state.js
<s> [webpack.Progress] 17% building 62/92 modules 30 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/well-known-symbol.js
<s> [webpack.Progress] 17% building 62/93 modules 31 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/set-species.js
<s> [webpack.Progress] 17% building 62/94 modules 32 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/an-object.js
<s> [webpack.Progress] 17% building 62/95 modules 33 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/export.js
<s> [webpack.Progress] 17% building 62/96 modules 34 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/object-assign.js
<s> [webpack.Progress] 17% building 62/97 modules 35 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/internals/regexp-exec.js
<s> [webpack.Progress] 17% building 62/98 modules 36 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/features/symbol/index.js
<s> [webpack.Progress] 17% building 63/98 modules 35 active /Users/adam/dev/devchallenges/button-component/node_modules/core-js/features/symbol/index.js
